,Genes,beta_cis,beta_trans
ENSMUSG00000000056,ENSMUSG00000000056,0.7786469174338541,0.0053262328753010575
ENSMUSG00000000058,ENSMUSG00000000058,0.33195106578244427,0.0011176541983505149
ENSMUSG00000000078,ENSMUSG00000000078,0.00804906724295552,0.20589947355516808
ENSMUSG00000000088,ENSMUSG00000000088,0.12390621803778036,0.00013844703489370033
ENSMUSG00000000120,ENSMUSG00000000120,0.006261642773155706,0.0006623585082746984
ENSMUSG00000000142,ENSMUSG00000000142,0.020094040269091742,0.34722031677132686
ENSMUSG00000000148,ENSMUSG00000000148,0.6979558501232235,0.11873313925572576
ENSMUSG00000000149,ENSMUSG00000000149,0.20539333866557838,0.0013251993960245703
ENSMUSG00000000184,ENSMUSG00000000184,0.5721869012535309,0.09227234670890111
ENSMUSG00000000194,ENSMUSG00000000194,0.0519801571662387,0.0027434886040017467
ENSMUSG00000000253,ENSMUSG00000000253,5.148633975259665e-07,0.0004050524754631644
ENSMUSG00000000275,ENSMUSG00000000275,0.0014904394406560575,0.0019796524805941146
ENSMUSG00000000276,ENSMUSG00000000276,0.1781472786923813,0.05336948799855943
ENSMUSG00000000278,ENSMUSG00000000278,0.0003103900800477536,1.2064632502001635e-06
ENSMUSG00000000290,ENSMUSG00000000290,0.04153009863858686,0.014766029606006582
ENSMUSG00000000339,ENSMUSG00000000339,0.30871519468254494,0.02887087944886547
ENSMUSG00000000340,ENSMUSG00000000340,0.036889643565627704,0.0034819464300226005
ENSMUSG00000000378,ENSMUSG00000000378,0.4960373310610903,0.22807460295943763
ENSMUSG00000000384,ENSMUSG00000000384,0.013673703961369361,0.00027252899916885894
ENSMUSG00000000420,ENSMUSG00000000420,0.02888560045266056,0.712815326910635
