,Genes,beta_cis,beta_trans
ENSMUSG00000000056,ENSMUSG00000000056,0.7786469174338541,0.00968405977327465
ENSMUSG00000000058,ENSMUSG00000000058,0.4149388322280553,0.0037255139945017164
ENSMUSG00000000078,ENSMUSG00000000078,0.03219626897182208,0.24223467477078597
ENSMUSG00000000088,ENSMUSG00000000088,0.2065103633963006,0.0013844703489370033
ENSMUSG00000000120,ENSMUSG00000000120,0.03130821386577853,0.0026494340330987937
ENSMUSG00000000142,ENSMUSG00000000142,0.05741154362597641,0.36549507028560724
ENSMUSG00000000148,ENSMUSG00000000148,0.7346903685507615,0.1484164240696572
ENSMUSG00000000149,ENSMUSG00000000149,0.29341905523654055,0.0037862839886416296
ENSMUSG00000000184,ENSMUSG00000000184,0.6357632236150343,0.12302979561186814
ENSMUSG00000000194,ENSMUSG00000000194,0.09450937666588854,0.006096641342226103
ENSMUSG00000000253,ENSMUSG00000000253,1.029726795051933e-05,0.0020252623773158217
ENSMUSG00000000275,ENSMUSG00000000275,0.00993626293770705,0.004949131201485287
ENSMUSG00000000276,ENSMUSG00000000276,0.2740727364498174,0.07624212571222776
ENSMUSG00000000278,ENSMUSG00000000278,0.003103900800477536,2.4129265004003268e-05
ENSMUSG00000000290,ENSMUSG00000000290,0.08306019727717372,0.024610049343344303
ENSMUSG00000000339,ENSMUSG00000000339,0.41162025957672654,0.044416737613639186
ENSMUSG00000000340,ENSMUSG00000000340,0.08197698570139489,0.006963892860045201
ENSMUSG00000000378,ENSMUSG00000000378,0.5835733306601063,0.25341622551048626
ENSMUSG00000000384,ENSMUSG00000000384,0.04557901320456454,0.0018168599944590597
ENSMUSG00000000420,ENSMUSG00000000420,0.0722140011316514,0.712815326910635
