,tagwise_dispersion
ENSMUSG00000000056,0.06091427721734721
ENSMUSG00000000058,0.2509130121021323
ENSMUSG00000000078,0.14477588780432848
ENSMUSG00000000088,0.42834951939683513
ENSMUSG00000000120,0.18738769715574835
ENSMUSG00000000142,0.045510058876268765
ENSMUSG00000000148,0.09551827212342476
ENSMUSG00000000149,0.19817459880467117
ENSMUSG00000000184,0.18052040393462332
ENSMUSG00000000194,0.09615029852289403
ENSMUSG00000000253,0.42669581558745406
ENSMUSG00000000275,0.08399252029539296
ENSMUSG00000000276,0.10714237454560621
ENSMUSG00000000278,0.45694138210777235
ENSMUSG00000000290,0.31911140323982434
ENSMUSG00000000339,0.0968200106284949
ENSMUSG00000000340,0.06523710711359199
ENSMUSG00000000378,0.06760567666659474
ENSMUSG00000000384,0.15631466883357975
ENSMUSG00000000420,0.060525746245497974
