,Intercept,beta_cis,beta_trans
ENSMUSG00000000056,-3.8018523156063067,-0.039775717395365895,-0.4039649035051047
ENSMUSG00000000058,-3.2443461027789775,0.20327433010280282,0.8539612750341758
ENSMUSG00000000078,-3.5658465341272065,-0.44138923633717697,-0.26828996773868496
ENSMUSG00000000088,-2.5586382370537732,0.40580791782001047,1.246017384147747
ENSMUSG00000000120,-7.224375294162529,0.5780360774289592,0.8759527284821678
ENSMUSG00000000142,-4.30804089640707,0.23368741670568305,0.12257200110760368
ENSMUSG00000000148,-4.843670094671678,-0.06426680984321642,-0.2969022668301404
ENSMUSG00000000149,-2.665294052785649,-0.24292957132246817,-0.7650256217836469
ENSMUSG00000000184,-4.565342706986543,-0.11207005252515767,-0.40755666958223014
ENSMUSG00000000194,-3.476232943892378,-0.2865638318345898,-0.5241552012798278
ENSMUSG00000000253,-3.2906233528396296,1.3865995965677007,1.197586063966153
ENSMUSG00000000275,-4.387224898367858,0.3917620544248237,0.4900216916987153
ENSMUSG00000000276,-4.404940803135612,-0.21064461051671482,-0.37508433378453004
ENSMUSG00000000278,-2.6846177772097124,-1.1322835215294447,-1.8078311047362647
ENSMUSG00000000290,-6.348296183597202,0.5203489792035656,0.7732371876155337
ENSMUSG00000000339,-4.352158292811369,-0.1395029895280655,0.3829546331867509
ENSMUSG00000000340,-1.5061416934412897,-0.22901691448753184,-0.4039944787367007
ENSMUSG00000000378,-4.537187824857194,0.08489807447585207,-0.19309568764633944
ENSMUSG00000000384,-3.2695326673356635,0.3917600947396731,0.7230872015213139
ENSMUSG00000000420,-2.940269525196549,-0.23511291545267987,0.0540091649144645
