,Genes,beta_cis,beta_trans
ENSMUSG00000000056,ENSMUSG00000000056,0.7022621944145933,0.0341970080887928
ENSMUSG00000000058,ENSMUSG00000000058,0.13055619702166116,0.44935088884982327
ENSMUSG00000000078,ENSMUSG00000000078,0.904745832213273,0.01923679291584018
ENSMUSG00000000088,ENSMUSG00000000088,0.7671360153940527,0.7051155765200738
ENSMUSG00000000120,ENSMUSG00000000120,0.5273046162821015,0.8338499379306018
ENSMUSG00000000142,ENSMUSG00000000142,0.442779681142158,0.05250049753809452
ENSMUSG00000000148,ENSMUSG00000000148,0.9699816324527105,0.21670233476817863
ENSMUSG00000000149,ENSMUSG00000000149,0.2283672961609633,0.7649703299813643
ENSMUSG00000000184,ENSMUSG00000000184,0.036877537573058915,0.06638265684882023
ENSMUSG00000000194,ENSMUSG00000000194,0.48904721031097537,0.6137375868470711
ENSMUSG00000000253,ENSMUSG00000000253,3.5496670744537008e-06,0.0027772857843476268
ENSMUSG00000000275,ENSMUSG00000000275,0.06671066264921965,0.5715633145053576
ENSMUSG00000000276,ENSMUSG00000000276,0.29771450445120795,0.36566968793371424
ENSMUSG00000000278,ENSMUSG00000000278,0.3772160038379207,0.19193082380352766
ENSMUSG00000000290,ENSMUSG00000000290,0.5952626327522461,0.3071248802793082
ENSMUSG00000000339,ENSMUSG00000000339,0.02035127658356684,0.40243413804007383
ENSMUSG00000000340,ENSMUSG00000000340,0.1973405439387003,0.16393344397471354
ENSMUSG00000000378,ENSMUSG00000000378,0.6382959686226666,0.08798078811053227
ENSMUSG00000000384,ENSMUSG00000000384,0.33410334670182573,0.9188002222984151
ENSMUSG00000000420,ENSMUSG00000000420,0.007898591790246686,0.9824867539992127
