,Intercept,beta_cis,beta_trans
ENSMUSG00000000056,-3.989109267961393,0.03851605598870075,-0.26834246269437156
ENSMUSG00000000058,-2.2753323606199065,-0.1894288262631561,-0.18068089007162405
ENSMUSG00000000078,-4.192252326063254,-0.015734673741714698,0.43211798168559334
ENSMUSG00000000088,-1.2530461663730772,-0.05722363464459755,-0.0975887697967706
ENSMUSG00000000120,-6.31792311422545,0.09532613242545988,-0.04060070569893956
ENSMUSG00000000142,-4.018628988761598,0.04762873904111372,-0.21736988498931312
ENSMUSG00000000148,-4.9728143681673895,-0.008739880164264276,-0.20536144082183477
ENSMUSG00000000149,-3.3882780573008318,0.1836453935227495,-0.04993170743478781
ENSMUSG00000000184,-5.343997568921631,0.42688719994337593,0.43432678229122196
ENSMUSG00000000194,-4.053246921546265,0.07083552237150219,0.06353259616171887
ENSMUSG00000000253,-2.8545676189180864,1.3314031467113336,1.0824792278143267
ENSMUSG00000000275,-3.9395336110677586,0.18451197326735705,0.058665624791724456
ENSMUSG00000000276,-4.8891124046774515,0.10728173537350404,0.1308986024662371
ENSMUSG00000000278,-4.039178178392203,-0.2596724550475432,-0.5045217287185695
ENSMUSG00000000290,-5.3987992950995265,0.08123403988313153,-0.2630002943598202
ENSMUSG00000000339,-4.054090722143465,-0.2779694425283166,0.11486870307486881
ENSMUSG00000000340,-1.7879383744801107,-0.09444798764518128,-0.1548649521561355
ENSMUSG00000000378,-4.527145561567481,0.04805956393825228,-0.2533053967163127
ENSMUSG00000000384,-2.5366913426319746,0.08519044370030379,-0.014486343919454879
ENSMUSG00000000420,-2.8896999431449615,-0.2609511167265641,0.004549977917662093
