,Genes,null: no cis,null: no trans,null: no Tissue cis,null: no Tissue trans,null: no Temperature cis,null: no Temperature trans
ENSMUSG00000000056,ENSMUSG00000000056,0.9071026438467121,0.41675382587416565,0.6692415870686073,0.09836211203378696,0.140302087862593,0.1965630720693889
ENSMUSG00000000058,ENSMUSG00000000058,0.43678852706120475,0.030019320584516757,0.4083075076494821,0.5050584007680994,0.7835039003119404,0.857963196120597
ENSMUSG00000000078,ENSMUSG00000000078,0.12587373322312004,0.0960671707828542,0.6878532838704179,0.044115612803731566,0.20599197475442327,0.111719132179239
ENSMUSG00000000088,ENSMUSG00000000088,0.06507335693705835,1.9899338078838292e-07,0.9057714806510528,0.9706441505217767,0.6178174199686594,0.3536928148673915
ENSMUSG00000000120,ENSMUSG00000000120,0.4096191155332532,0.020862167362125313,0.06643824387196542,0.026405095838498652,0.4068554807125112,0.39567325929613933
ENSMUSG00000000142,ENSMUSG00000000142,0.008921551971273143,0.03202812425904145,0.333075341855184,0.041753080486860786,0.30269048007747956,0.4437610613618336
ENSMUSG00000000148,ENSMUSG00000000148,0.04483868355600869,0.3456800462975115,0.3086184832700829,0.8019348663378539,6.739107141472105e-05,0.010113120340749664
ENSMUSG00000000149,ENSMUSG00000000149,0.1452521371999789,0.001564069174815349,0.19579054703073495,0.11403002654708425,0.37842266072464414,0.4274438563338218
ENSMUSG00000000184,ENSMUSG00000000184,0.5504667353317265,0.00853464851565054,0.11310924795734534,0.3881516140952499,0.7220547542136401,0.13624314186915124
ENSMUSG00000000194,ENSMUSG00000000194,0.07499082504360186,0.00249198892270163,0.9546803710109201,0.9573173557215139,0.37775110443913823,0.10329792742620199
ENSMUSG00000000253,ENSMUSG00000000253,0.00847486914578477,0.15135173369630658,0.5838193369924014,0.7116335044678062,0.8365083368088008,0.16886110606723484
ENSMUSG00000000275,ENSMUSG00000000275,0.02684542492818931,0.01593653618671132,0.4351601042501153,0.953997738221691,0.3448915883013398,0.3483436860707234
