,Genes,null: no cis,null: no trans,null: no Tissue cis,null: no Tissue trans,null: no Temperature cis,null: no Temperature trans
ENSMUSG00000000056,ENSMUSG00000000056,0.9523326008812032,0.5138282909330141,0.8531484575097125,0.4577929945063527,0.6041990289388344,0.6720125160143398
ENSMUSG00000000058,ENSMUSG00000000058,0.5804181032629796,0.0499388464301028,0.699430392869392,0.7989640240595439,0.9394144263878823,0.9606628722653309
ENSMUSG00000000078,ENSMUSG00000000078,0.21850791657168325,0.14223126011597462,0.8631825022574454,0.3420158786115385,0.6685951125988276,0.5795176074679433
ENSMUSG00000000088,ENSMUSG00000000088,0.12689971793672417,9.738046576145052e-07,0.9608351122132195,0.9902548762519682,0.8844119915557377,0.7744325409183945
ENSMUSG00000000120,ENSMUSG00000000120,0.5526806983288586,0.03590935956811072,0.32018295568702254,0.2810960389075995,0.7961307863325064,0.7949688794168208
ENSMUSG00000000142,ENSMUSG00000000142,0.02421806638824194,0.05284918363854555,0.6457791031687665,0.33461106356464554,0.7390465893547704,0.8181262087659523
ENSMUSG00000000148,ENSMUSG00000000148,0.09399321394951711,0.43696285870039886,0.6262365097934186,0.9289160266593168,0.032044454457699864,0.28709186400158
ENSMUSG00000000149,ENSMUSG00000000149,0.24520967303641408,0.003351325088808254,0.5179327127294269,0.4816101639360938,0.7826312802083435,0.8102972240002615
ENSMUSG00000000184,ENSMUSG00000000184,0.6860994302758479,0.015795882072754452,0.4071932926464432,0.7338612027924107,0.918832387944476,0.6116470240010833
ENSMUSG00000000194,ENSMUSG00000000194,0.14268010926935384,0.005137026298025831,0.9809843682672988,0.9860023161998119,0.7823766976151444,0.5689362682373634
ENSMUSG00000000253,ENSMUSG00000000253,0.023159771717360108,0.21255549900839907,0.8079731110547277,0.8928277872676564,0.9540508834361418,0.6466587055165381
ENSMUSG00000000275,ENSMUSG00000000275,0.061271997856099276,0.028022765941872047,0.7178443350249083,0.9847161892715212,0.7639562899252503,0.7716029009004456
ENSMUSG00000000276,ENSMUSG00000000276,0.512790979873601,0.7007882114482917,0.5048656042490431,0.645005567519188,0.5366769452754121,0.8665991541676328
ENSMUSG00000000278,ENSMUSG00000000278,4.371648756178273e-06,6.000079063440031e-10,0.5876393777956787,0.9227497249063266,0.7524716938005818,0.7240934690755894
ENSMUSG00000000290,ENSMUSG00000000290,0.0006422087337173213,2.226366879986385e-06,0.8693556168041598,0.9412333615206949,0.5635860106415762,0.7186284195629196
ENSMUSG00000000339,ENSMUSG00000000339,0.9962827440117905,5.415450283146958e-05,0.9498572776951713,0.7628473461383746,0.8190857763567516,0.8890008710577952
ENSMUSG00000000340,ENSMUSG00000000340,0.5166100572418733,0.3691943336035946,0.14175544939815307,0.5313494120018427,0.924341070057732,0.21404512176350105
ENSMUSG00000000378,ENSMUSG00000000378,0.011429881340517414,0.94515308198355,0.03421473016250151,0.7819738514649169,0.43790389612203273,0.6228385062811488
ENSMUSG00000000384,ENSMUSG00000000384,0.0202323368902115,2.330233766431613e-06,0.8254475846245465,0.9168379793773714,0.7829967082949228,0.8496421254256898
ENSMUSG00000000420,ENSMUSG00000000420,0.1235142479483422,0.04239115338421403,0.8651098016926942,0.7488811217898802,0.8732208568108728,0.7026605823471868
ENSMUSG00000000439,ENSMUSG00000000439,0.19854787719289763,0.5810873523631397,0.8486417460088295,0.8556809818985008,0.6485922207381984,0.36082398881377753
ENSMUSG00000000440,ENSMUSG00000000440,0.9083112312715025,0.36154027860922083,0.49621299579331624,0.9587912904585764,0.8568741485325311,0.7457446472622176
ENSMUSG00000000441,ENSMUSG00000000441,0.011609471168157429,0.00016064714869897962,0.35896757814228175,0.2382952571047347,0.3857937277530694,0.30096530532726073
ENSMUSG00000000530,ENSMUSG00000000530,0.9861056420507827,0.9115919739661392,0.9367498746819946,0.7955682968796267,0.7666722608083559,0.7998287659229724
ENSMUSG00000000532,ENSMUSG00000000532,0.6012288452534267,0.02731961537054195,0.7714923923601777,0.6725844798082941,0.9155494425036282,0.9545296293636587
ENSMUSG00000000568,ENSMUSG00000000568,0.001758641660381085,7.071514745093618e-07,0.8404356392960503,0.8063904504583365,0.4419524710861973,0.6506241438849913
ENSMUSG00000000581,ENSMUSG00000000581,0.0006305065676286205,4.563335739525046e-05,0.523663406799477,0.4312724054391689,0.9137648703716161,0.8414895559678475
ENSMUSG00000000594,ENSMUSG00000000594,1.253752232365211e-07,1.4042715443462522e-09,0.14980185007432356,0.22184482841286718,0.8376260034043758,0.8948770675173255
ENSMUSG00000000628,ENSMUSG00000000628,0.9120803500550819,0.8776534976950492,0.4873348292068197,0.5266907036185032,0.7999075591307148,0.9650390642444147
ENSMUSG00000000631,ENSMUSG00000000631,0.0003224922513935953,0.0014104806745945388,0.7272022452561794,0.8805704827394941,0.92356993986416,0.8437115111444541
ENSMUSG00000000708,ENSMUSG00000000708,3.0932820700494736e-06,2.820708862693227e-07,0.5506936614299391,0.9639049324141665,0.99924291890841,0.9270032193799838
ENSMUSG00000000738,ENSMUSG00000000738,7.097177570768858e-05,1.2735423303922984e-08,0.6258705903630233,0.8899128470999922,0.6499027526646689,0.6051458535521541
ENSMUSG00000000740,ENSMUSG00000000740,0.05730172032824627,1.894028100014643e-05,0.7595601882136318,0.36108476954950786,0.9429816272384077,0.9503352544923908
ENSMUSG00000000743,ENSMUSG00000000743,0.00695774578396414,0.0001153933806324601,0.2690931735085657,0.6897900637819324,0.817158369767399,0.8159781805980306
ENSMUSG00000000751,ENSMUSG00000000751,0.00839191918988794,5.093260613988271e-07,0.34766641779045315,0.7265990874182575,0.9150210609960557,0.9585641161482112
ENSMUSG00000000759,ENSMUSG00000000759,0.06781454592912055,0.3076533125754762,0.06469805184345298,0.5612697799853075,0.12209075866095132,0.19409601938004725
ENSMUSG00000000776,ENSMUSG00000000776,0.22497065092134097,9.059285382839454e-07,0.6149856421604388,0.6521723743097648,0.4861151149617391,0.7528705712227375
ENSMUSG00000000811,ENSMUSG00000000811,0.750616905540872,0.05056649417059906,0.3729845942384161,0.5362652844957703,0.772817660030998,0.8413007152649035
ENSMUSG00000000826,ENSMUSG00000000826,0.018495337912872112,0.0008739837402991615,0.8726168228129305,0.8009433456890819,0.9537137963943102,0.7988748547647294
ENSMUSG00000000876,ENSMUSG00000000876,0.17250374520490813,2.0448580001937952e-05,0.9360916745526718,0.9930214069498706,0.7865400471341686,0.7473937587575452
ENSMUSG00000000902,ENSMUSG00000000902,0.11841336047081182,0.008469156381844,0.3323947484737902,0.6763363494623502,0.8079988074176225,0.7930300557849583
ENSMUSG00000000957,ENSMUSG00000000957,0.000993846302363285,2.4038733027502707e-05,0.673807309610327,0.7769010282379206,0.34344424643075444,0.454025358340575
ENSMUSG00000000976,ENSMUSG00000000976,1.3385076130134997e-05,1.0164659060586021e-09,0.48866911968971893,0.36398428004345207,0.7084231461623014,0.6617048872241311
ENSMUSG00000001052,ENSMUSG00000001052,0.9427645402533825,0.011790938281652901,0.7595495686175276,0.6647870537237615,0.8283554099243143,0.4220645059183994
ENSMUSG00000001054,ENSMUSG00000001054,0.20849582586922943,6.010203961621792e-10,0.8083799991252286,0.7625744242162689,0.7938222415213669,0.7173480192568347
