,Intercept,beta_cis,beta_trans,beta_cis*tissue-BAT,beta_trans*tissue-BAT,beta_tissue-BAT,beta_cis*temperature-Cold,beta_trans*temperature-Cold,beta_temperature-Cold
ENSMUSG00000000056,-8.864985437236545,-0.052851082971057506,-0.11358667078920073,0.039348398097807796,-0.17943163542122637,-0.6298107359492464,0.11015966644251635,0.1023208503096982,-0.0705670088114566
ENSMUSG00000000058,-12.084343505215614,0.5799690960988015,1.1806907263866455,-0.2511876048048387,-0.18946970036982858,3.3145665047202946,-0.04955706560120246,-0.036972449118833246,-0.11376267936512931
ENSMUSG00000000078,-9.869548608434641,-0.47850690605837737,-0.729236848254396,0.06068705560504952,0.3829533034010973,0.9103631010141618,0.1513382443901048,0.22312778395044247,-0.3424814982208218
ENSMUSG00000000088,-9.185087853832357,0.4375348413957426,1.285503428170538,0.020218010007591228,0.005906871010965834,1.0196051169705291,0.0597219193727993,0.13585359235976843,-0.09029881557835238
ENSMUSG00000000120,-10.389053530053207,-0.05124472389559108,0.3700286664988948,0.4526926555735818,0.5555618010297043,-2.311815575536549,0.11746377166379908,0.13449501522858182,-0.1563081441080136
ENSMUSG00000000142,-10.407147508754257,0.3015623451823049,0.36257290252325575,-0.08883716150023403,-0.20931051740523995,0.5818718443631735,0.06440501126287572,0.04989007431162348,-0.08028836375183791
ENSMUSG00000000148,-10.254680100787237,-0.3292208465792776,-0.19950443095153117,0.08068358419064589,-0.015813787772833626,-0.04943650348330489,0.35538464395526786,0.1886267548035384,-0.35331438331781506
ENSMUSG00000000149,-7.833614328411586,-0.36343233096571514,-0.46461155741437765,0.16406354205475512,-0.20502561344096987,-0.5502987504358441,0.06998064376944332,0.0699273440032492,-0.05427158090530812
ENSMUSG00000000184,-9.85562783550842,-0.16765327356751225,-0.4563839200607609,0.17066391615720894,0.07745810811639553,-0.23253644805471638,-0.020959220999643625,0.11570038685269647,-0.1464052427601379
ENSMUSG00000000194,-9.557507696120151,-0.16023344144254598,-0.25227593756207795,0.00365694610386797,-0.0030422353537796205,0.2747178434418024,-0.042622437755675965,-0.09761389098350548,0.08471204715269696
ENSMUSG00000000253,-14.217226786792915,1.2648841446298904,0.7958353261725163,0.23327876539202655,0.15035981909271173,4.855558008742727,-0.051327848705618496,0.48860927817774946,0.20185952676812835
ENSMUSG00000000275,-8.687509827804837,0.4523533191243139,0.5367304494730712,-0.12257773347785415,-0.007585199902587313,-1.2101619337532918,0.10179079429947395,0.11320363095090016,-0.131940925042396
ENSMUSG00000000276,-11.450911555301305,-0.6086438346817529,-0.4569941754605875,0.30916850949149144,0.23918531819453698,1.393279406756074,0.2844708617747563,0.0865920864636725,-0.13363335101256443
ENSMUSG00000000278,-8.353257704720257,-1.3854980150905798,-1.8317933631146766,0.23244384697762083,0.04681577082681462,0.03363384748682073,0.13511762739519684,0.17198598446645424,-0.11756226234494856
ENSMUSG00000000290,-11.673734196210644,0.8418160910683979,1.1628438226152529,-0.05900134197877297,0.02880528470814901,-0.6695249343251951,-0.20549386311028478,-0.14515334685294135,0.2139921351312704
ENSMUSG00000000339,-10.65703583921155,0.02198080698144503,0.5809375610956384,0.013191763152501021,-0.07118030611416548,0.545834970639363,-0.04792845742277439,0.03301446091371334,0.02951992456038712
ENSMUSG00000000340,-7.961479003157162,0.08922048421051669,0.06546089172740624,-0.2153142925077394,-0.10528172880579162,0.5397658682530878,-0.013912371994383067,-0.20901543548382548,0.19169934494985635
ENSMUSG00000000378,-10.280272575746364,0.06730133399335841,0.03191400598630718,0.30329902741921233,0.04267201645479284,-0.071898568365926,-0.11097742578184075,-0.0757195107286039,0.03818164800622605
ENSMUSG00000000384,-9.524234404521549,0.3400439511349722,0.7891700268537828,0.0587554123811851,0.03206213637917926,0.6592086607996269,0.07334044888873127,0.05808193818064816,-0.09396225284648009
ENSMUSG00000000420,-8.721639752797865,-0.12176950165235778,0.18294251868230652,-0.019945636740149746,-0.04247810784968559,0.04924653526960905,-0.01873742831213168,0.0506565871569718,0.04085691229286245
