,Genes,null: no cis,null: no trans,null: no Tissue cis,null: no Tissue trans,null: no Temperature cis,null: no Temperature trans
ENSMUSG00000000056,ENSMUSG00000000056,0.8691621438396407,0.9807142561205052,0.7397732982409708,0.7778634239085467,0.976945749839518,0.7478829760261385
ENSMUSG00000000058,ENSMUSG00000000058,0.9927941461712616,0.996709385902994,0.7643667111371211,0.9679721855715533,0.9684386011371438,0.9444936142306322
ENSMUSG00000000078,ENSMUSG00000000078,0.8765401880840837,0.6913643044518285,0.6250934690389301,0.25414020336894455,0.704929880910413,0.6694120972916441
ENSMUSG00000000088,ENSMUSG00000000088,0.9987975225667216,0.9990731210935813,0.9821161419477276,0.9486208532610748,0.9169192788947689,0.960871638349561
ENSMUSG00000000120,ENSMUSG00000000120,0.53236902724902,0.5076553332531397,0.21496229063669636,0.1908177255525608,0.9715967105034663,0.8003404093284432
ENSMUSG00000000142,ENSMUSG00000000142,0.9182357012202774,0.271951243692271,0.7813713876550251,0.6799589665244957,0.5334034788538622,0.4855158037731506
ENSMUSG00000000148,ENSMUSG00000000148,0.179680948664012,0.2644770755632628,0.38051518478719626,0.10694322199864825,0.04573963482177257,0.2737417264669002
ENSMUSG00000000149,ENSMUSG00000000149,0.6247367764063105,0.8400456426395483,0.3889237272548812,0.9892095649818204,0.8891277670832974,0.807634607480222
ENSMUSG00000000184,ENSMUSG00000000184,0.371969193033361,0.46309925447212685,0.18232641014559686,0.28354110676287014,0.5181426923070186,0.2171106217994918
ENSMUSG00000000194,ENSMUSG00000000194,0.8983067338946342,0.816138140556312,0.9523967488893889,0.9300935587075626,0.904270266760601,0.7749541892441794
ENSMUSG00000000253,ENSMUSG00000000253,0.032395439341856895,0.43510157672043426,0.8372799940511563,0.7291666913878406,0.6619924995419358,0.9295951797548168
ENSMUSG00000000275,ENSMUSG00000000275,0.5739274238064647,0.9745400475512633,0.7581391478662838,0.9513921941852904,0.8481795090966741,0.9654627110905163
ENSMUSG00000000276,ENSMUSG00000000276,0.8120170260340673,0.9388429285754062,0.49699800420353646,0.5802901541666259,0.5139155411689458,0.7472500723926474
ENSMUSG00000000278,ENSMUSG00000000278,0.9989515560678925,0.9822564710203975,0.8977181363667099,0.6966178192975416,0.9555280137397245,0.961176406377448
ENSMUSG00000000290,ENSMUSG00000000290,0.38920721524365487,0.995308924927825,0.8767494162660043,0.8895135229662257,0.5471915024421744,0.823635219940049
ENSMUSG00000000339,ENSMUSG00000000339,0.6138022923765076,0.4456097562943223,0.8336408264282843,0.9669303010899588,0.6490853687405527,0.8081555505331242
ENSMUSG00000000340,ENSMUSG00000000340,0.7980669629715902,0.9266818673556223,0.3948453074205336,0.9420506959589148,0.8917922290745354,0.5573220396251594
ENSMUSG00000000378,ENSMUSG00000000378,0.24683213668726167,0.9086714268981717,0.19872116092890338,0.6746730688363144,0.5664903423027483,0.8066764544055365
ENSMUSG00000000384,ENSMUSG00000000384,0.8549580335477999,0.9572221530180651,0.8745443881473851,0.9535702735139022,0.8497880529002533,0.9798101235950818
ENSMUSG00000000420,ENSMUSG00000000420,0.011677965277382688,0.9397316769962544,0.9185531112168942,0.901966368950058,0.9941774973739338,0.6317162095673543
ENSMUSG00000000439,ENSMUSG00000000439,0.5203199086318149,0.7085455606335902,0.8045962219400142,0.484145249204491,0.572674184146351,0.36535687729011534
ENSMUSG00000000440,ENSMUSG00000000440,0.9429261648375857,0.9815404774550913,0.675343571642355,0.8873107790575404,0.8958804505074912,0.8288135669526346
ENSMUSG00000000441,ENSMUSG00000000441,0.9133968198789191,0.7493884944838209,0.9550737989655264,0.9662821705440214,0.63617287543195,0.621517796236306
ENSMUSG00000000530,ENSMUSG00000000530,0.9256593344318245,0.8572248063271949,0.7037901459715703,0.4711931417934675,0.6858452214808011,0.7019067517867792
ENSMUSG00000000532,ENSMUSG00000000532,0.9903383572677203,0.9917883765111047,0.8243590423985943,0.8857158253077189,0.8207504790273201,0.8190633288325055
ENSMUSG00000000568,ENSMUSG00000000568,0.7832996914681241,0.7730619345665231,0.9044987711007411,0.8740466387589851,0.5374914334329723,0.7150753479972152
