,Intercept,beta_cis,beta_trans,beta_cis*tissue-BAT,beta_trans*tissue-BAT,beta_tissue-BAT,beta_cis*temperature-Cold,beta_trans*temperature-Cold,beta_temperature-Cold
ENSMUSG00000000056,-9.054358136655416,0.06342669839140733,0.0968498830097975,0.08512571666781772,-0.09683790571014164,-0.7334291899917991,-0.007392354646804526,-0.11025332531308575,0.11771172121979012
ENSMUSG00000000058,-10.780394781598808,0.097606850721041,-0.2014195260009364,-0.18433673394071073,0.04700907600672418,3.098020811639914,-0.024406935197185,0.08467699182795228,-0.20201593626935693
ENSMUSG00000000078,-10.217393849441288,-0.3317787083435349,-0.4680941532613054,0.22155321728342653,0.659311351265419,0.7587559951164398,0.17154338007559655,0.24660509663036384,-0.3250260737112234
ENSMUSG00000000088,-7.934831858021351,-0.00020344769762414993,0.05735565475551357,0.007098525496170662,-0.05273979245473833,1.0584973178321189,0.04053588876765874,0.042038026106305394,0.020128312763847713
ENSMUSG00000000120,-9.569772042382397,-0.4543214074848444,-0.7047011339951669,0.5667476834800241,1.0335377157354073,-2.426827728946505,0.01626595201714178,-0.19935576387987922,0.10409996041192769
ENSMUSG00000000142,-9.72360129863768,-0.0732329761964734,-0.45911573381243825,0.05807792973626713,0.12902503049986577,0.2885569956917005,0.13033333676582623,0.21812610642810265,-0.18216635127138925
ENSMUSG00000000148,-10.548723675047617,-0.1161436295756375,0.10895862682498343,-0.1781876455060443,-0.40128361716311495,0.26929853148244215,0.4054010383831919,0.27221827713819613,-0.3908829436241461
ENSMUSG00000000149,-8.503216846700715,0.059413036055434194,0.24687860555275223,0.30121006642985326,-0.006489546859083313,-0.7549158211013691,-0.04836913641607347,-0.1047649341663242,0.10590034653707936
ENSMUSG00000000184,-10.013179395475865,-0.11932391369289029,-0.36207832492880054,0.34816744047488096,0.3494739262390194,-0.447680542848755,0.16862577293914066,0.40234337517217655,-0.36612462810475055
ENSMUSG00000000194,-9.921799636932208,0.07923431146167637,0.1362199689579305,0.01167684021504849,0.02149346835310312,0.25521909732415843,-0.02342269258866196,-0.06985747780292137,0.04375741976290682
ENSMUSG00000000253,-14.757429213381686,1.7952210511927593,1.612393437668247,-0.19211063684471802,-0.5373853822421802,5.532112294081961,-0.4271201223884089,-0.13342639198636286,0.9098333133755077
ENSMUSG00000000275,-8.221808580827311,0.25801933458064086,0.10197079990407804,-0.10820911103359425,0.034892262509627466,-1.2427496547087995,0.06724839265333289,0.02485362267195855,-0.034530449526699404
ENSMUSG00000000276,-11.677200798494484,-0.5008772643869225,-0.28788086009194447,0.389673802954305,0.40655140765377074,1.306871874402052,0.37232070365164244,0.23559330767902698,-0.23556188122512042
ENSMUSG00000000278,-10.323058137058263,0.049467533199187744,0.15203274721196247,-0.10066292925204558,-0.3449377809482093,0.39517466852438166,-0.044600624642015384,-0.043234970449786456,0.08986819608115888
ENSMUSG00000000290,-10.532220541735732,0.40874437794833146,0.03277239950085157,-0.052808665489677296,0.09157628727835379,-0.7000990692575045,-0.20817785713984902,-0.1455631499185791,0.16276531462947597
ENSMUSG00000000339,-10.313598163365176,-0.1137413617968736,0.32207381453898853,0.047669308115655985,-0.013882380351629763,0.4858111126568721,-0.10327192336493461,-0.08235891263760066,0.1259032758835209
ENSMUSG00000000340,-7.973066885091699,0.10679859291412941,0.10153769315862543,-0.14850579581550824,0.017326093055144744,0.42022342881474967,0.023736172551756744,-0.13993724359814064,0.08991175393935098
ENSMUSG00000000378,-10.259025678893936,0.0563911284372072,0.012740112203464446,0.22214884135820662,-0.0922735981287578,0.04500835175953644,-0.09895142363704505,-0.05374157741636062,0.006773525901596995
ENSMUSG00000000384,-8.835051234335658,0.06536782963799692,0.1486712902173749,0.04180082627247554,-0.026848202013246038,0.7101972236771813,0.0497478476807616,-0.012028580610551355,-0.026839448821873575
ENSMUSG00000000420,-8.524119086045722,-0.22641402666154603,-0.01935937077849684,0.013509128031906568,0.02308574787618732,-0.010756780036242848,0.0009718874579748859,0.08986208315924556,0.02425397308728643
ENSMUSG00000000439,-10.215424394963742,-0.12693365048120808,-0.00694944586421391,0.058475496205125044,0.217624041655251,0.4676687186179334,-0.1330993299358953,-0.28122797988294596,0.13973837385518115
ENSMUSG00000000440,-11.613828235327626,0.3684863728637584,-0.43037892739104205,-0.421453665722265,0.1766479741483623,3.909312706301452,0.1320374904964027,0.2688329596840999,-0.339812702419821
ENSMUSG00000000441,-9.251718846152672,0.11498734918674748,0.2070486485583051,-0.012389025118757306,-0.011675397742793005,-0.20315730829950643,-0.10322949998675705,-0.1351031124196491,0.03594378650355774
ENSMUSG00000000530,-11.742783132364954,0.11671486033174618,0.2612937771665048,-0.20462129226843057,-0.5096619264701091,2.1223403586760328,0.21640878270917355,0.2694923798607667,-0.20984022318202655
ENSMUSG00000000532,-9.700531791809748,0.052762877537562335,0.1439746392185832,-0.07489449270375485,-0.07668670845984768,-1.0923067256153756,-0.07620418784797321,-0.12152868897179783,0.12154357425909497
ENSMUSG00000000568,-8.998239028886726,-0.19297128566691246,-0.231355385573866,0.03008225958084148,0.04930949041625361,-0.32444818784648327,0.1527677325896407,0.11246925759496991,-0.15627118377597926
ENSMUSG00000000581,-9.940484921076974,-0.03870265095146625,0.15824227964420975,0.04924527754565495,0.07747091980790867,-0.7058996557246463,-0.008076938780778831,-0.05159626579183073,-0.06132910910427988
ENSMUSG00000000594,-8.132520171873402,-0.010024188957297136,0.051848100667703206,0.3169829610455444,0.22671835279802244,-1.5645471532882882,0.2937219992171618,0.38147605353634734,-0.32851270810971783
ENSMUSG00000000628,-12.853355371101825,0.1587320415699987,0.3992604560933102,-0.6991734377905817,-0.7532133327537653,7.019257964456861,0.3084769739217437,0.17247771266744766,-0.3126393476072144
ENSMUSG00000000631,-8.020663713319033,-0.14578518194798015,-0.07062363270413585,-0.005987498241073257,0.11836332686861684,-0.4774515729831374,-0.014722768360361068,0.045261617696039674,0.07752490720122007
ENSMUSG00000000708,-8.103385882469007,-0.36355595942797914,-0.15106942404173762,0.2099828281568664,0.07829416663587073,-0.6530642469688271,0.013225189824745087,0.048317934403768144,-0.10950443782071684
ENSMUSG00000000738,-9.410435019364668,-0.15897518807822736,-0.08672095986272489,0.22122670272555078,-0.01979130283063144,0.5889942842912637,-0.0805725732879772,-0.09346777838563873,0.02859723367488525
ENSMUSG00000000740,-7.818180745409208,0.15708741063672152,0.38870063777516844,-0.08020585978280724,-0.2652056544830755,-0.4490816471523713,-0.015427948042419624,-0.09985681522300847,-0.05802406468330593
ENSMUSG00000000743,-9.231334262993958,0.045933582437391006,0.06503103872111266,-0.25161391951756173,-0.15832943780748618,-0.14761752576662876,0.026262856139937993,-0.08166768909358042,-0.04086984433793815
