,Genes,null: no cis,null: no trans
ENSMUSG00000000056,ENSMUSG00000000056,0.432195044563258,0.09244631954506091
ENSMUSG00000000058,ENSMUSG00000000058,0.18892638577892337,0.00026302176431270856
ENSMUSG00000000078,ENSMUSG00000000078,0.0554858925092751,0.6486561382283875
ENSMUSG00000000088,ENSMUSG00000000088,0.07104051702713761,6.636745947603096e-05
ENSMUSG00000000120,ENSMUSG00000000120,0.007802092633366223,0.00024108363105995438
ENSMUSG00000000142,ENSMUSG00000000142,0.006485738032726336,0.04513404732004882
ENSMUSG00000000148,ENSMUSG00000000148,0.606967163903728,0.5370630935516939
ENSMUSG00000000149,ENSMUSG00000000149,0.5096248957585822,0.0077591425243014305
ENSMUSG00000000184,ENSMUSG00000000184,0.9499954117014558,0.29635820932451395
ENSMUSG00000000194,ENSMUSG00000000194,0.17206524172280632,0.025717903741893287
ENSMUSG00000000253,ENSMUSG00000000253,6.755468489898602e-08,0.00025189979520047907
ENSMUSG00000000275,ENSMUSG00000000275,0.0010875597486731568,0.0002946622994982642
ENSMUSG00000000276,ENSMUSG00000000276,0.47966569935876213,0.2505656295610855
ENSMUSG00000000278,ENSMUSG00000000278,0.0009533600032360067,1.403883052066335e-06
ENSMUSG00000000290,ENSMUSG00000000290,0.022807511735703126,0.0032641096095031583
ENSMUSG00000000339,ENSMUSG00000000339,0.8162728449466873,0.002266912261644986
ENSMUSG00000000340,ENSMUSG00000000340,0.23729831056926673,0.06401745138814409
ENSMUSG00000000378,ENSMUSG00000000378,0.07381194725231272,0.9226130381861912
ENSMUSG00000000384,ENSMUSG00000000384,0.006692290812894012,5.9602456202805705e-05
ENSMUSG00000000420,ENSMUSG00000000420,0.2327494519377908,0.08561017494687875
ENSMUSG00000000439,ENSMUSG00000000439,0.10132520104984678,0.2540448620560725
ENSMUSG00000000440,ENSMUSG00000000440,0.04619403181628316,0.0005963449923837876
ENSMUSG00000000441,ENSMUSG00000000441,0.014068346926286735,0.002840973019679247
ENSMUSG00000000530,ENSMUSG00000000530,0.6040593879403354,0.13920307220122394
ENSMUSG00000000531,ENSMUSG00000000531,0.0020412374537119573,0.2601081666764169
ENSMUSG00000000532,ENSMUSG00000000532,0.09772243912385212,0.0029721220515234316
ENSMUSG00000000568,ENSMUSG00000000568,0.12388686702907958,0.007011370479113455
ENSMUSG00000000581,ENSMUSG00000000581,0.019928615247851778,0.016301587676749187
ENSMUSG00000000594,ENSMUSG00000000594,0.00026914117584715544,3.165990369547607e-05
ENSMUSG00000000628,ENSMUSG00000000628,0.03877398119420322,0.8649000174185835
ENSMUSG00000000631,ENSMUSG00000000631,0.0005778838749028627,0.034918708262997505
ENSMUSG00000000708,ENSMUSG00000000708,0.001988293555957043,0.0008141861293311972
ENSMUSG00000000738,ENSMUSG00000000738,0.01090129049799418,7.207808226331958e-05
ENSMUSG00000000740,ENSMUSG00000000740,0.06435744547402326,0.002193336968344583
ENSMUSG00000000743,ENSMUSG00000000743,0.0060653545563044,0.004541890073501514
ENSMUSG00000000751,ENSMUSG00000000751,0.009779252846558197,0.0003782485605509547
ENSMUSG00000000759,ENSMUSG00000000759,0.2465705688352195,0.10701196433424684
ENSMUSG00000000776,ENSMUSG00000000776,0.46227518820705427,0.009648804286227924
ENSMUSG00000000811,ENSMUSG00000000811,0.6765662022004,0.005512476563612354
ENSMUSG00000000826,ENSMUSG00000000826,0.07493585507974238,0.03371800334719002
ENSMUSG00000000876,ENSMUSG00000000876,0.08230427221180638,0.00025280371660841807
ENSMUSG00000000902,ENSMUSG00000000902,0.008238109545433055,0.015177084055058984
ENSMUSG00000000957,ENSMUSG00000000957,9.203517239904611e-05,2.8729229048290868e-05
ENSMUSG00000000976,ENSMUSG00000000976,0.0020245980344222626,5.366694285202769e-06
ENSMUSG00000001029,ENSMUSG00000001029,0.028212613926198945,0.021782937953191653
ENSMUSG00000001052,ENSMUSG00000001052,0.6082816905263897,0.35643430537094445
ENSMUSG00000001054,ENSMUSG00000001054,0.20971673448507458,0.00014147309840511574
ENSMUSG00000001062,ENSMUSG00000001062,0.005457195239075582,0.015401717844599384
ENSMUSG00000001065,ENSMUSG00000001065,0.02724734096875326,0.04457495554840577
ENSMUSG00000001089,ENSMUSG00000001089,0.9556906214221765,0.035565090415357346
ENSMUSG00000001105,ENSMUSG00000001105,0.7502522312299972,0.620621515429793
ENSMUSG00000001119,ENSMUSG00000001119,0.0497581975088153,0.010916395405752512
ENSMUSG00000001120,ENSMUSG00000001120,0.20611552893195087,0.05782838161743448
ENSMUSG00000001123,ENSMUSG00000001123,0.06273463591078651,0.001644634662816524
ENSMUSG00000001138,ENSMUSG00000001138,0.5899851839887084,0.08996480668341858
ENSMUSG00000001143,ENSMUSG00000001143,0.6600405028246524,0.0036394321397717703
ENSMUSG00000001150,ENSMUSG00000001150,0.04890727516279743,0.5066653525635485
ENSMUSG00000001151,ENSMUSG00000001151,0.7536270394726463,0.4505797023472879
ENSMUSG00000001175,ENSMUSG00000001175,0.00714023062052919,0.0005213824402802698
ENSMUSG00000001211,ENSMUSG00000001211,0.9524983211630514,0.0359126737322629
ENSMUSG00000001229,ENSMUSG00000001229,0.003371077822063074,0.059928082889936354
ENSMUSG00000001240,ENSMUSG00000001240,0.0208999832040733,1.39025414899019e-05
ENSMUSG00000001248,ENSMUSG00000001248,1.0996519052848806e-06,0.004186421237674791
ENSMUSG00000001280,ENSMUSG00000001280,0.009821099537133303,1.945135011076647e-05
ENSMUSG00000001288,ENSMUSG00000001288,0.09243653791470077,0.0007925499026733096
ENSMUSG00000001323,ENSMUSG00000001323,0.0410295153409423,0.21985965546784447
ENSMUSG00000001334,ENSMUSG00000001334,8.06683428761062e-08,0.18403463848671944
ENSMUSG00000001348,ENSMUSG00000001348,0.005102718606591919,0.2713142817191778
ENSMUSG00000001366,ENSMUSG00000001366,0.33605781167148263,0.04713783896358984
ENSMUSG00000001380,ENSMUSG00000001380,0.8048575430748205,0.09682265751629758
ENSMUSG00000001415,ENSMUSG00000001415,1.5949178376446212e-05,4.727267666512373e-06
ENSMUSG00000001418,ENSMUSG00000001418,0.0012240319687483556,2.7285913810178e-05
ENSMUSG00000001419,ENSMUSG00000001419,4.5143029877920584e-05,6.115029309923719e-06
ENSMUSG00000001420,ENSMUSG00000001420,0.0005332727718552719,0.00012710152178858834
