,Genes,null: no cis,null: no trans
ENSMUSG00000000056,ENSMUSG00000000056,0.5297073323840382,0.12955505344695156
ENSMUSG00000000058,ENSMUSG00000000058,0.27931909933139487,0.0012663225265700565
ENSMUSG00000000078,ENSMUSG00000000078,0.10994051718565295,0.6949887195304152
ENSMUSG00000000088,ENSMUSG00000000088,0.1326593327031628,0.0005220207286849866
ENSMUSG00000000120,ENSMUSG00000000120,0.025819563758978023,0.0011914480773409998
ENSMUSG00000000142,ENSMUSG00000000142,0.022682985386863634,0.06967940587036241
ENSMUSG00000000148,ENSMUSG00000000148,0.6887652477675833,0.5922177075182143
ENSMUSG00000000149,ENSMUSG00000000149,0.6025867751393812,0.015989672374898012
ENSMUSG00000000184,ENSMUSG00000000184,0.9635529405126897,0.3556298511894167
ENSMUSG00000000194,ENSMUSG00000000194,0.2604537254272702,0.04338397438234047
ENSMUSG00000000253,ENSMUSG00000000253,1.3906947201618847e-05,0.0012306397523296727
ENSMUSG00000000275,ENSMUSG00000000275,0.006538501208034991,0.0013657872111837244
ENSMUSG00000000276,ENSMUSG00000000276,0.5754831642226306,0.3076037031625911
ENSMUSG00000000278,ENSMUSG00000000278,0.005959747873632419,6.92659654614547e-05
ENSMUSG00000000290,ENSMUSG00000000290,0.056404658269323796,0.007983094784405512
ENSMUSG00000000339,ENSMUSG00000000339,0.8641867147245474,0.005990910226658063
ENSMUSG00000000340,ENSMUSG00000000340,0.33247381227376727,0.09394891464779258
ENSMUSG00000000378,ENSMUSG00000000378,0.13638419223036427,0.9346682229715869
ENSMUSG00000000384,ENSMUSG00000000384,0.02320149602379631,0.0004928347140315097
ENSMUSG00000000420,ENSMUSG00000000420,0.3270984529351721,0.12108333201441983
ENSMUSG00000000439,ENSMUSG00000000439,0.17362555977829658,0.3112349325825473
ENSMUSG00000000440,ENSMUSG00000000440,0.09568992711422987,0.0022071789240739074
ENSMUSG00000000441,ENSMUSG00000000441,0.03952377936467379,0.007144317155638207
ENSMUSG00000000530,ENSMUSG00000000530,0.6865095271280797,0.18455304042667267
ENSMUSG00000000531,ENSMUSG00000000531,0.010206187268559786,0.3173606693354198
ENSMUSG00000000532,ENSMUSG00000000532,0.16905330674279836,0.007393153603164536
ENSMUSG00000000568,ENSMUSG00000000568,0.20163702185485416,0.01469213118999906
ENSMUSG00000000581,ENSMUSG00000000581,0.051348223146169665,0.029580692531973447
ENSMUSG00000000594,ENSMUSG00000000594,0.002642718453630786,0.00034365386374907663
ENSMUSG00000000628,ENSMUSG00000000628,0.083506734390113,0.8852139729108424
ENSMUSG00000000631,ENSMUSG00000000631,0.0043124584164626134,0.056205092566755224
ENSMUSG00000000708,ENSMUSG00000000708,0.010008526584370613,0.002760188070475438
ENSMUSG00000000738,ENSMUSG00000000738,0.03300238553398847,0.0005488598866224718
ENSMUSG00000000740,ENSMUSG00000000740,0.12306660777704,0.0058326154570232346
ENSMUSG00000000743,ENSMUSG00000000743,0.021656798266230425,0.010345320007174376
ENSMUSG00000000751,ENSMUSG00000000751,0.03043907168610659,0.0016015205010561698
ENSMUSG00000000759,ENSMUSG00000000759,0.34193409894222077,0.1470337001324404
ENSMUSG00000000776,ENSMUSG00000000776,0.5591132239862467,0.019073960790986985
ENSMUSG00000000811,ENSMUSG00000000811,0.7502043512511865,0.012103525224261035
ENSMUSG00000000826,ENSMUSG00000000826,0.1378210273647757,0.05450757649139573
ENSMUSG00000000876,ENSMUSG00000000876,0.14858073937238708,0.0012320311740018415
ENSMUSG00000000902,ENSMUSG00000000902,0.026845804577639378,0.02785342508721246
