,Intercept,beta_cis,beta_trans
ENSMUSG00000000056,-9.626127048962458,0.08037785333950787,-0.21212849608899553
ENSMUSG00000000058,-9.04597506791703,0.2938491177947187,1.0457068838053436
ENSMUSG00000000078,-9.37690277357936,-0.32458124109612463,-0.08901323870466092
ENSMUSG00000000088,-8.392606910785588,0.5128036758362207,1.4555793008221585
ENSMUSG00000000120,-12.992821461374094,0.6561907477608564,1.0536995300981875
ENSMUSG00000000142,-10.093922547198245,0.3317343350220412,0.2965517794053021
ENSMUSG00000000148,-10.682292709271366,0.06982717415248985,-0.10018067297428068
ENSMUSG00000000149,-8.511038467112902,-0.10724989228150149,-0.5673600064314357
ENSMUSG00000000184,-10.376618493597855,0.010458179122453615,-0.23534821365277028
ENSMUSG00000000194,-9.297027556601265,-0.1689957697728648,-0.3365066283400324
ENSMUSG00000000253,-9.112382041081894,1.5032246815347854,1.39231410231318
ENSMUSG00000000275,-10.185254780919978,0.49148747823465655,0.6739973718439547
ENSMUSG00000000276,-10.212109558426944,-0.10090707182875036,-0.20100882639688678
ENSMUSG00000000278,-8.530957858691105,-0.99319458395337,-1.6036648663848947
ENSMUSG00000000290,-12.149812436841946,0.5978972695428038,0.9617112569693909
ENSMUSG00000000339,-10.171319920695908,-0.032056934848043284,0.5839867411860773
ENSMUSG00000000340,-7.307169756038884,-0.11746309111776654,-0.23151580540957362
ENSMUSG00000000378,-10.38183546663887,0.21554925650789336,0.012832724578952792
ENSMUSG00000000384,-9.081451091682059,0.4980884133457071,0.9147061982390952
ENSMUSG00000000420,-8.746584979704187,-0.1323536825040339,0.23681754906258765
ENSMUSG00000000439,-9.636841211769742,-0.179995566108051,-0.14589797287344197
ENSMUSG00000000440,-7.417193692644836,-0.3061314682199541,-0.6397589516506939
ENSMUSG00000000441,-8.870312563749383,-0.3977579404405418,-0.5798417175945012
ENSMUSG00000000530,-9.57550711998854,-0.05823096553300644,-0.21128014172015064
ENSMUSG00000000531,-10.922855690361008,-0.6319072315701426,-0.2624154487321917
ENSMUSG00000000532,-11.3796887693932,0.24307457262570153,0.5124786016678122
ENSMUSG00000000568,-9.118113579997821,-0.21963665299344193,-0.4683604306249567
ENSMUSG00000000581,-9.921176745820079,-0.565454842555047,-0.6953394871985878
ENSMUSG00000000594,-6.719178519345709,-2.129472250797935,-2.799823985270745
ENSMUSG00000000628,-6.158435798090812,-0.2329651756191451,-0.022100206674991796
ENSMUSG00000000631,-8.084507321053199,-0.41122104102738893,-0.30730192946311163
ENSMUSG00000000708,-8.146017089713073,-0.6089508593096262,-0.7904271677930748
ENSMUSG00000000738,-7.720927768019697,-0.7652168829328225,-1.4072580886710802
ENSMUSG00000000740,-8.894072274057153,0.25750518784570353,0.5370930506210776
ENSMUSG00000000743,-9.134411012676123,-0.38473095787763434,-0.4740792477404962
ENSMUSG00000000751,-9.469254294877087,-0.4679106017961523,-0.7499676224999554
ENSMUSG00000000759,-9.763468406672766,-0.11429001267591941,-0.1864724549027379
ENSMUSG00000000776,-10.672422739965757,0.1726060388608861,0.8050229184657596
ENSMUSG00000000811,-10.562871756916836,0.045556216802452816,0.3931056075625996
ENSMUSG00000000826,-8.313029617914228,-0.18199613221313626,-0.26508564068748797
ENSMUSG00000000876,-9.425104806794538,0.330820201716163,0.8765177273642896
ENSMUSG00000000902,-9.929088437705513,0.2910343579201218,0.3242320601797104
ENSMUSG00000000957,-9.372939577482162,-1.6790048852372956,-2.0098568111735418
ENSMUSG00000000976,-9.392066831271702,-0.7707065810750588,-1.2552433560005376
ENSMUSG00000001029,-10.259581500485773,-0.39712497975091665,-0.4836435139861521
ENSMUSG00000001052,-9.345030411040328,0.05208784000557287,-0.11817626940077196
ENSMUSG00000001054,-10.936708237614594,0.2762831198711826,1.0506352430808459
ENSMUSG00000001062,-9.81251944795891,-0.36184404250378854,-0.36746696982062943
ENSMUSG00000001065,-11.213597461760685,0.3419688510566221,0.36670164412444883
ENSMUSG00000001089,-8.652843633242755,-0.0049270012688236164,0.2648630025090508
ENSMUSG00000001105,-10.078071242479892,0.03360806829161689,0.06620643538823323
ENSMUSG00000001119,-9.393884151683336,0.2955678684673053,0.483350944749576
ENSMUSG00000001120,-11.098188028758933,0.20967023589802736,0.3809208389330098
ENSMUSG00000001123,-8.618210911535217,-0.30905375488515574,-0.6350768444594248
ENSMUSG00000001138,-10.208035376151766,0.0675738824035026,0.273111693389426
ENSMUSG00000001143,-9.53482914570432,0.063678220052239,0.5701856795634566
ENSMUSG00000001150,-9.728047440402479,0.20465609740412205,0.07950187318251167
ENSMUSG00000001151,-9.946806411482791,0.0331803587421291,0.10317351224868966
ENSMUSG00000001175,-6.7861525212029,-0.5639402512937153,-0.8737138163508167
ENSMUSG00000001211,-6.782590876395444,0.004995035970823736,0.2525277083622566
ENSMUSG00000001229,-9.278406111967042,-0.450266251561251,-0.34518770578460334
ENSMUSG00000001240,-10.918962060638322,0.4568393838211567,1.0280241229134308
ENSMUSG00000001248,-8.149768218795163,-1.5225299716513785,-1.0571897312622074
ENSMUSG00000001280,-8.272836863010701,-0.6125214492876996,-1.1648898191485166
ENSMUSG00000001288,-10.458580146981499,0.25549991379138426,0.6269753575941
ENSMUSG00000001323,-9.57053524515599,-0.22143596910595242,-0.1538196499664206
ENSMUSG00000001334,-12.807522251416565,1.728038179976517,0.5562409186082959
ENSMUSG00000001348,-8.814875769349584,0.39948203493191237,-0.19346092149944918
ENSMUSG00000001366,-9.08337729640011,0.09906933217495607,0.2589240706710445
ENSMUSG00000001380,-9.584222329658163,-0.04968760369697379,-0.4632629001067361
ENSMUSG00000001415,-6.161500368625794,-2.5040434974647763,-2.9393160807679912
ENSMUSG00000001418,-8.418673925302683,-0.7423591008885388,-1.1064275849389524
ENSMUSG00000001419,-6.0436449696130214,-1.999649214904304,-2.479171208164926
ENSMUSG00000001420,-7.222647928234762,-1.3444840641579017,-1.7376330045738513
ENSMUSG00000001424,-9.133291419302129,-0.43368002585153853,-0.5622828816187884
ENSMUSG00000001435,-10.179371876886881,0.12478665076279861,-0.7336769470874778
ENSMUSG00000001436,-9.982376422865807,0.3398301814219735,0.3896037070982121
ENSMUSG00000001441,-8.321844230931516,-0.6462916608619462,-0.9833918941242067
ENSMUSG00000001445,-6.835393188030675,-1.7081560774481606,-2.056809896887609
ENSMUSG00000001467,-9.261380659030497,0.4821458647976291,1.3362263990926824
ENSMUSG00000001472,-7.107926892378647,-0.6897285202476731,-1.1456835767161566
ENSMUSG00000001473,-9.998126518872073,0.0917756730558068,-0.2597532770224209
ENSMUSG00000001482,-10.096677105065702,0.5101437476661825,0.6406511115146181
ENSMUSG00000001506,-8.654584089889742,-0.32841806654433725,-0.28840384975813294
ENSMUSG00000001521,-11.190706792431635,0.24314657727596511,0.186495120676776
ENSMUSG00000001524,-11.536140588211572,0.6705154352084293,1.2146371456324498
ENSMUSG00000001525,-7.673941012995305,-1.264488677422504,-1.8275867385960256
ENSMUSG00000001542,-8.0620279584422,-0.7444147237754795,-1.2319267463221344
ENSMUSG00000001552,-7.992489576767554,-0.8867663587797843,-1.4215686155061285
ENSMUSG00000001569,-10.369405949649918,0.7078604030880378,0.6594622773228132
ENSMUSG00000001576,-8.255929077609679,0.3122923625588818,0.6470898159004728
ENSMUSG00000001630,-9.307910893381221,-0.4406366816887868,-0.43632775894447207
ENSMUSG00000001632,-8.96237467370175,-0.5399889536659774,-0.9975316565123863
ENSMUSG00000001642,-9.583313363826926,0.2880657041946204,0.4135249848522946
ENSMUSG00000001663,-11.914842487562101,2.0224856019524804,1.3429774132536334
ENSMUSG00000001665,-13.131299409794496,0.9837078303405047,1.2529275876770125
ENSMUSG00000001666,-8.862096788424035,-0.8530308274946546,-1.0589624623083793
ENSMUSG00000001700,-11.0576321910221,0.11638369899452528,0.9193119175511502
ENSMUSG00000001707,-10.894897215029676,-0.04646765840185729,0.4609776733795581
ENSMUSG00000001729,-8.387431346991773,-0.31027267121126023,-0.10878215330305531
ENSMUSG00000001751,-10.998380024643732,0.022059080171704437,0.03098789536940849
ENSMUSG00000001755,-8.174459699852052,-0.06878922968602552,0.18293057095368329
ENSMUSG00000001767,-10.422229106835482,0.1992457236845393,0.5647682384592656
ENSMUSG00000001768,-9.463933127209318,-0.10540340905527934,-0.02639257929484984
ENSMUSG00000001774,-7.646591458551619,-1.2996698786304357,-1.6867020004770765
ENSMUSG00000001783,-9.383760066286746,0.09474721153810073,0.30363139044710685
ENSMUSG00000001785,-10.915397323173101,0.35001840084949265,1.028636235553888
ENSMUSG00000001786,-11.138407864085545,-0.3310664554449332,0.21471379240392707
ENSMUSG00000001794,-7.881366072178589,0.31535720677741086,1.28650048527581
ENSMUSG00000001802,-10.881739353602965,0.9894059288994052,0.6551310999641728
ENSMUSG00000001829,-7.027838281469042,-1.2323743490010237,-1.941832024693415
ENSMUSG00000001844,-10.51714162876975,0.474511609815547,0.8821761197409953
ENSMUSG00000001847,-7.64823771895214,-0.4840725894376181,-0.8073086039268027
ENSMUSG00000001855,-10.048704590667663,0.1206348904912904,0.29441377832624305
ENSMUSG00000001870,-10.15091676370312,-0.46988482514801966,-0.5416506650312964
ENSMUSG00000001891,-3.811870963090039,-3.6862362051635817,-4.129622667773048
ENSMUSG00000001911,-6.021298954403102,-2.1392117143258957,-2.4744631937505996
ENSMUSG00000001930,-9.923391676325709,-0.009733425321433842,0.09821411179323825
ENSMUSG00000001942,-10.296039945003187,0.20385878358518464,0.4735862054777069
ENSMUSG00000001943,-11.330873908335702,0.32490775435154085,0.8220225449736898
ENSMUSG00000001946,-8.787684326021102,-0.6662982650873044,-0.9748879209290761
ENSMUSG00000001983,-9.659408689791295,0.44056439701084565,0.12139712940308554
ENSMUSG00000001995,-10.427455395680768,-0.04563868487776723,0.1438387414443465
ENSMUSG00000001998,-11.121530237643041,0.45908793810759185,0.626693424217045
ENSMUSG00000001999,-10.073510056522629,0.019972547416573505,0.8382518187042313
ENSMUSG00000002020,-8.955697012846304,0.30328500281433257,0.34953066493001833
ENSMUSG00000002028,-8.86525669900021,-0.01167565287258654,0.09488761012451619
ENSMUSG00000002032,-12.192403067127987,0.08586066603391629,0.806905469839922
ENSMUSG00000002052,-8.172297372198804,-0.1978062996210657,-0.2988462044174991
ENSMUSG00000002059,-9.511650587113595,0.30612184372608375,1.1881279004121428
ENSMUSG00000002103,-7.732787281537551,-1.8709433503650084,-2.397983773697529
ENSMUSG00000002107,-8.032482581187907,-0.18125032251153606,-0.1974883013326458
ENSMUSG00000002108,-8.486498015186722,-0.5510541054423559,-0.9007682180479116
ENSMUSG00000002111,-13.164059439399036,0.3222652236973591,0.7828424726125913
ENSMUSG00000002129,-8.027888949006789,-1.6958165149373468,-2.4335702325046586
ENSMUSG00000002147,-8.340665763701956,-0.4388968888683795,-0.8112557863805936
ENSMUSG00000002205,-10.259348239324781,0.38668853968276196,0.5324183656671782
ENSMUSG00000002210,-10.526077364859797,-0.09033149261557762,0.013483101530628261
ENSMUSG00000002221,-10.15735205632053,0.08394933984384423,0.18960096724018527
ENSMUSG00000002250,-8.997727685095048,-0.2396480785448869,0.15783147636873274
ENSMUSG00000002280,-9.682673328989553,0.27588935713322016,0.5846724911262875
ENSMUSG00000002307,-10.650537570627453,0.2840741051427287,0.4232740988935948
ENSMUSG00000002308,-11.335214923889534,0.051425387209718565,0.5606806349273246
ENSMUSG00000002319,-10.57012308790785,-0.22543932151805457,-0.12121060004663063
ENSMUSG00000002325,-10.819991509956933,-0.016560065248004463,0.032910361695597246
ENSMUSG00000002326,-11.691757500204815,-0.11925780398565777,0.264616433656391
ENSMUSG00000002346,-8.051213559118795,-0.09405389468756199,-0.2503994936843661
ENSMUSG00000002365,-9.635622578993996,0.7225186127773258,1.0796807265750177
