,Genes,null: no cis,null: no trans
ENSMUSG00000000056,ENSMUSG00000000056,0.18198872732445606,0.1438577931838296
ENSMUSG00000000058,ENSMUSG00000000058,0.3905287111312964,0.7297762338371895
ENSMUSG00000000078,ENSMUSG00000000078,0.6808350114981196,0.004895802390408489
ENSMUSG00000000088,ENSMUSG00000000088,0.7930475470811763,0.8460208742404784
ENSMUSG00000000120,ENSMUSG00000000120,0.31369920181788624,0.6575117224135629
ENSMUSG00000000142,ENSMUSG00000000142,0.1775101042355264,0.34455003337988505
ENSMUSG00000000148,ENSMUSG00000000148,0.41521040501885514,0.539779949234956
ENSMUSG00000000149,ENSMUSG00000000149,0.1053821084078224,0.5578800397231819
ENSMUSG00000000184,ENSMUSG00000000184,0.01226848857253097,0.009315362169242112
ENSMUSG00000000194,ENSMUSG00000000194,0.1879810189079493,0.1286093256516935
ENSMUSG00000000253,ENSMUSG00000000253,4.421806201099071e-07,0.0015335464813789976
ENSMUSG00000000275,ENSMUSG00000000275,0.03778427769321619,0.23376616208714812
ENSMUSG00000000276,ENSMUSG00000000276,0.1876170016672616,0.09970841277598992
ENSMUSG00000000278,ENSMUSG00000000278,0.5533917570517605,0.22750609426083873
ENSMUSG00000000290,ENSMUSG00000000290,0.3928185409272887,0.5396279254301058
ENSMUSG00000000339,ENSMUSG00000000339,0.09017549013274767,0.12883900589374783
ENSMUSG00000000340,ENSMUSG00000000340,0.7359414039856944,0.49630061523742347
ENSMUSG00000000378,ENSMUSG00000000378,0.16372043884801568,0.2928736600730934
ENSMUSG00000000384,ENSMUSG00000000384,0.18066229637267084,0.49540605604008425
ENSMUSG00000000420,ENSMUSG00000000420,0.04418795632070346,0.24742301797400265
ENSMUSG00000000439,ENSMUSG00000000439,0.4256136988238683,0.6395904017529791
ENSMUSG00000000440,ENSMUSG00000000440,0.6968966741504686,0.7631319145387786
ENSMUSG00000000441,ENSMUSG00000000441,0.8862049197428378,0.6810050566179183
ENSMUSG00000000530,ENSMUSG00000000530,0.760939201550564,0.1565190495604131
ENSMUSG00000000531,ENSMUSG00000000531,0.0024558805529869246,0.1382030085999989
ENSMUSG00000000532,ENSMUSG00000000532,0.6266915315840927,0.8776539054765898
ENSMUSG00000000568,ENSMUSG00000000568,0.5703312700069921,0.981164200751057
ENSMUSG00000000581,ENSMUSG00000000581,0.6939095281394071,0.20247891367470205
ENSMUSG00000000594,ENSMUSG00000000594,0.5636682927534896,0.5021744258876654
