,Genes,null: no cis,null: no trans
ENSMUSG00000000056,ENSMUSG00000000056,0.4365097236347941,0.4784573957144639
ENSMUSG00000000058,ENSMUSG00000000058,0.6496117039436722,0.8966380152311219
ENSMUSG00000000078,ENSMUSG00000000078,0.843800086909648,0.10043965728776179
ENSMUSG00000000088,ENSMUSG00000000088,0.9040469459756775,0.9444174680657548
ENSMUSG00000000120,ENSMUSG00000000120,0.5826957793568079,0.8632823802087025
ENSMUSG00000000142,ENSMUSG00000000142,0.43061167098175235,0.6750783391131977
ENSMUSG00000000148,ENSMUSG00000000148,0.6688629568166663,0.8044149518054636
ENSMUSG00000000149,ENSMUSG00000000149,0.32263137804856395,0.8143138966130553
ENSMUSG00000000184,ENSMUSG00000000184,0.08942964197559206,0.13765522809498865
ENSMUSG00000000194,ENSMUSG00000000194,0.4442781800793576,0.45675054975646057
ENSMUSG00000000253,ENSMUSG00000000253,9.102821731228088e-05,0.056865046545544196
ENSMUSG00000000275,ENSMUSG00000000275,0.17831789551660132,0.5805257852164203
ENSMUSG00000000276,ENSMUSG00000000276,0.4437692155125007,0.4108069180625672
ENSMUSG00000000278,ENSMUSG00000000278,0.7686711934851116,0.5738113150558544
ENSMUSG00000000290,ENSMUSG00000000290,0.651062379049393,0.8043891922141654
ENSMUSG00000000339,ENSMUSG00000000339,0.2946621106143972,0.45702249862488087
ENSMUSG00000000340,ENSMUSG00000000340,0.8745163578412809,0.7805360044698151
ENSMUSG00000000378,ENSMUSG00000000378,0.4118883354077765,0.6344179066169694
ENSMUSG00000000384,ENSMUSG00000000384,0.43507620385028034,0.780156727660064
ENSMUSG00000000420,ENSMUSG00000000420,0.1944009574315399,0.5944126427785899
ENSMUSG00000000439,ENSMUSG00000000439,0.6764946171401741,0.855366195892761
ENSMUSG00000000440,ENSMUSG00000000440,0.8527307121701779,0.9106331260836514
ENSMUSG00000000441,ENSMUSG00000000441,0.951041411264559,0.8728209935613939
ENSMUSG00000000530,ENSMUSG00000000530,0.8872669986829819,0.4949251726036368
ENSMUSG00000000531,ENSMUSG00000000531,0.031062726485872754,0.470662841609808
ENSMUSG00000000532,ENSMUSG00000000532,0.8140444829323398,0.9573531547040456
ENSMUSG00000000568,ENSMUSG00000000568,0.7796834627757597,0.9943218941578358
ENSMUSG00000000581,ENSMUSG00000000581,0.8509942241150904,0.5489550929327753
ENSMUSG00000000594,ENSMUSG00000000594,0.7750114481202978,0.7839909316290173
ENSMUSG00000000628,ENSMUSG00000000628,0.02411835779573754,0.26204174080188103
ENSMUSG00000000631,ENSMUSG00000000631,0.2658407665435348,0.7639218087388863
ENSMUSG00000000708,ENSMUSG00000000708,0.7322878628657757,0.9567331280152266
ENSMUSG00000000738,ENSMUSG00000000738,0.8341417591825281,0.9323111124122282
ENSMUSG00000000740,ENSMUSG00000000740,0.9185380359117291,0.9952213636244134
ENSMUSG00000000743,ENSMUSG00000000743,0.3808596000877409,0.6012628042757739
ENSMUSG00000000751,ENSMUSG00000000751,0.9105314034207245,0.845711236839334
ENSMUSG00000000759,ENSMUSG00000000759,0.6178231347337498,0.49484698486196954
ENSMUSG00000000776,ENSMUSG00000000776,0.24973445474151224,0.2800277233339568
ENSMUSG00000000811,ENSMUSG00000000811,0.8893364740870614,0.2137892963889192
ENSMUSG00000000826,ENSMUSG00000000826,0.7168810264108469,0.8505065092366433
ENSMUSG00000000876,ENSMUSG00000000876,0.8919606543997582,0.9357319082828376
ENSMUSG00000000902,ENSMUSG00000000902,0.5001098281468954,0.83212453289365
ENSMUSG00000000957,ENSMUSG00000000957,0.8023960889292743,0.9601570488867947
ENSMUSG00000000976,ENSMUSG00000000976,0.7669206564508652,0.560781037139232
ENSMUSG00000001029,ENSMUSG00000001029,0.38606495564637655,0.4810430423760981
ENSMUSG00000001052,ENSMUSG00000001052,0.4346557758032955,0.9735311864179091
ENSMUSG00000001054,ENSMUSG00000001054,0.5641448426751179,0.9428947172168088
ENSMUSG00000001062,ENSMUSG00000001062,0.5295361146494098,0.9957864754994655
ENSMUSG00000001065,ENSMUSG00000001065,0.7499114056944425,0.6658308973172811
ENSMUSG00000001089,ENSMUSG00000001089,0.8622390100785597,0.246566895687332
ENSMUSG00000001105,ENSMUSG00000001105,0.36164338393421,0.23654435613104646
ENSMUSG00000001119,ENSMUSG00000001119,0.903588007214694,0.6582881120791602
ENSMUSG00000001120,ENSMUSG00000001120,0.8097311943159224,0.7342684448873682
ENSMUSG00000001123,ENSMUSG00000001123,0.8674505388223377,0.9012536358688966
ENSMUSG00000001138,ENSMUSG00000001138,0.26394168515796507,0.33426431175434346
ENSMUSG00000001143,ENSMUSG00000001143,0.27665139639701175,0.8716367743779347
ENSMUSG00000001150,ENSMUSG00000001150,0.6533664879278993,0.37201697478175644
ENSMUSG00000001151,ENSMUSG00000001151,0.2594808875382205,0.18217139509703387
ENSMUSG00000001175,ENSMUSG00000001175,0.8392779740989305,0.7335098279036726
ENSMUSG00000001211,ENSMUSG00000001211,0.5761617813408191,0.6121331050508139
ENSMUSG00000001229,ENSMUSG00000001229,0.20003251333911637,0.8186166236040336
ENSMUSG00000001240,ENSMUSG00000001240,0.6188146409596839,0.5790745047430867
ENSMUSG00000001248,ENSMUSG00000001248,3.514232504346657e-05,0.004192606774922082
ENSMUSG00000001280,ENSMUSG00000001280,0.8553626418261002,0.5432701602949839
ENSMUSG00000001288,ENSMUSG00000001288,0.9391833670967532,0.6783060069399012
ENSMUSG00000001323,ENSMUSG00000001323,0.067343300789171,0.19810555947013403
ENSMUSG00000001334,ENSMUSG00000001334,1.3031765636860368e-05,0.04117924292001586
ENSMUSG00000001348,ENSMUSG00000001348,0.018581670346560487,0.9774902539976111
ENSMUSG00000001366,ENSMUSG00000001366,0.6864670559798749,0.7907312243682694
ENSMUSG00000001380,ENSMUSG00000001380,0.34573084209676663,0.6676400742162885
ENSMUSG00000001415,ENSMUSG00000001415,0.9683433917828912,0.9546889530630014
ENSMUSG00000001418,ENSMUSG00000001418,0.731096924867118,0.7453283047636421
ENSMUSG00000001419,ENSMUSG00000001419,0.923431188125132,0.9996657271231519
ENSMUSG00000001420,ENSMUSG00000001420,0.8140405611789672,0.6889353746455515
ENSMUSG00000001424,ENSMUSG00000001424,0.36643456961139964,0.5262613140495485
ENSMUSG00000001435,ENSMUSG00000001435,0.11096229866806553,0.78436777776164
ENSMUSG00000001436,ENSMUSG00000001436,0.3126680048590764,0.7754673349335995
ENSMUSG00000001441,ENSMUSG00000001441,0.8204815544011754,0.738112566747162
ENSMUSG00000001445,ENSMUSG00000001445,0.9650980871520812,0.8102793650848423
ENSMUSG00000001467,ENSMUSG00000001467,0.6173075482436521,0.3949955889824601
ENSMUSG00000001472,ENSMUSG00000001472,0.7719593320123104,0.8169901763192711
ENSMUSG00000001473,ENSMUSG00000001473,0.0916456068695085,0.4846054622207886
ENSMUSG00000001482,ENSMUSG00000001482,0.20521900641288024,0.8573299737039569
ENSMUSG00000001506,ENSMUSG00000001506,0.6659149988130836,0.25526561875124393
