,tagwise_dispersion
ENSMUSG00000000056,0.04676663150522586
ENSMUSG00000000058,0.3007352017748421
ENSMUSG00000000078,0.14189412109972027
ENSMUSG00000000088,0.4867897153787354
ENSMUSG00000000120,0.2463923125121697
ENSMUSG00000000142,0.07039793439931617
ENSMUSG00000000148,0.07387725040482111
ENSMUSG00000000149,0.15773085919502683
ENSMUSG00000000184,0.16642006253771188
ENSMUSG00000000194,0.07051385862469453
ENSMUSG00000000253,0.5166277725742415
ENSMUSG00000000275,0.12435528093220315
ENSMUSG00000000276,0.08959157681477015
ENSMUSG00000000278,0.4095910358005974
ENSMUSG00000000290,0.35356947844442693
ENSMUSG00000000339,0.12241570637473476
ENSMUSG00000000340,0.05565537864541048
ENSMUSG00000000378,0.05542681964253955
ENSMUSG00000000384,0.19836163625596628
ENSMUSG00000000420,0.06563266861362889
ENSMUSG00000000439,0.047195930904604555
ENSMUSG00000000440,0.126018782310388
ENSMUSG00000000441,0.12492937293700757
ENSMUSG00000000530,0.06321255733223874
ENSMUSG00000000531,0.11570357181931384
ENSMUSG00000000532,0.07787014451125573
ENSMUSG00000000568,0.09700476911224258
ENSMUSG00000000581,0.2567623497348578
ENSMUSG00000000594,1.401686364227434
ENSMUSG00000000628,0.06985964382336789
ENSMUSG00000000631,0.072781391816509
ENSMUSG00000000708,0.19501758324375884
ENSMUSG00000000738,0.45088027230270944
ENSMUSG00000000740,0.11014865294690608
ENSMUSG00000000743,0.08702693006760316
ENSMUSG00000000751,0.13777472849586478
ENSMUSG00000000759,0.03342638508668707
ENSMUSG00000000776,0.33303814114094865
ENSMUSG00000000811,0.05473900034309396
ENSMUSG00000000826,0.05241861013878545
ENSMUSG00000000876,0.21134368241873475
ENSMUSG00000000902,0.05673645394091116
ENSMUSG00000000957,0.6294304642960133
ENSMUSG00000000976,0.2565239119809896
ENSMUSG00000001029,0.11458170908814108
ENSMUSG00000001052,0.05486490168557622
ENSMUSG00000001054,0.27419070898529085
ENSMUSG00000001062,0.058220832539549495
ENSMUSG00000001065,0.09470174920771263
ENSMUSG00000001089,0.054668318435811526
ENSMUSG00000001105,0.057496353340384325
ENSMUSG00000001119,0.1265907385587601
ENSMUSG00000001120,0.11887434992119161
ENSMUSG00000001123,0.1390512735629666
ENSMUSG00000001138,0.08169696701685662
ENSMUSG00000001143,0.1345403076525196
ENSMUSG00000001150,0.04768880974681855
ENSMUSG00000001151,0.06051605830332654
ENSMUSG00000001175,0.23000935969928107
ENSMUSG00000001211,0.052374555010246765
ENSMUSG00000001229,0.10720152507027683
ENSMUSG00000001240,0.21409704932136
ENSMUSG00000001248,0.4554308785011533
ENSMUSG00000001280,0.27796293331977967
ENSMUSG00000001288,0.11861196923340067
ENSMUSG00000001323,0.0448602033122375
ENSMUSG00000001334,0.6226459127590407
ENSMUSG00000001348,0.11363347368965321
ENSMUSG00000001366,0.05756631806561339
ENSMUSG00000001380,0.2687538562422856
ENSMUSG00000001415,1.3218526561606565
ENSMUSG00000001418,0.2529495511160723
ENSMUSG00000001419,1.0303666208755968
ENSMUSG00000001420,0.7047350673991006
ENSMUSG00000001424,0.08236389356277925
ENSMUSG00000001435,0.2983596360833135
ENSMUSG00000001436,0.09832827812240685
ENSMUSG00000001441,0.2850714734575625
ENSMUSG00000001445,0.8722707198673423
