,Intercept,beta_cis,beta_trans
ENSMUSG00000000056,-9.723924642030132,0.12184945462343284,-0.14138804131319174
ENSMUSG00000000058,-7.958877347431709,-0.11811360195775755,-0.0663512559563499
ENSMUSG00000000078,-9.903468174885669,0.04992090304711671,0.5341816034453979
ENSMUSG00000000088,-6.968063691862422,0.039189322243694674,0.05132493861600014
ENSMUSG00000000120,-12.00121523238953,0.1780423897961838,0.08587388357718023
ENSMUSG00000000142,-9.724273308782983,0.1291573212611493,-0.09833649875757194
ENSMUSG00000000148,-10.728251906177618,0.09121673156342895,-0.065925369423838
ENSMUSG00000000149,-9.14559716416178,0.2765335673574353,0.08092566942448681
ENSMUSG00000000184,-11.083301106244352,0.5170409999335316,0.5546746091507581
ENSMUSG00000000194,-9.780948066063342,0.14692579694947952,0.17799903142086881
ENSMUSG00000000253,-8.558529236382883,1.4177835745974663,1.2118315957670662
ENSMUSG00000000275,-9.630392830130164,0.2588083452913025,0.16976329759334058
ENSMUSG00000000276,-10.60497715234037,0.1732576343741775,0.23073346321503346
ENSMUSG00000000278,-9.807245731486164,-0.17071343342086376,-0.367537048132712
ENSMUSG00000000290,-11.096061244376969,0.1431531577533511,-0.13941876741942089
ENSMUSG00000000339,-9.75059437360273,-0.2103374056064177,0.22617279828309694
ENSMUSG00000000340,-7.496177575552234,-0.023145543373681552,-0.05462113448415018
ENSMUSG00000000378,-10.283189670848966,0.14316578291360854,-0.10663274116855666
ENSMUSG00000000384,-8.239416348523173,0.17125395500482682,0.11109218016635
ENSMUSG00000000420,-8.595356114122701,-0.19497213366253735,0.11500995137248986
ENSMUSG00000000439,-9.812720601116252,-0.0668239565974693,0.03691251501621648
ENSMUSG00000000440,-8.028321604723784,0.04588216573010269,-0.03461971458467675
ENSMUSG00000000441,-9.49199437398953,-0.01557052790992054,0.05024442139036443
ENSMUSG00000000530,-9.664702973540152,-0.024635942991567565,-0.15361922729649377
ENSMUSG00000000531,-10.97857000835107,-0.6166557494032026,-0.2521189808686106
ENSMUSG00000000532,-10.878739543878462,-0.048250081072787665,0.014789682718957366
ENSMUSG00000000568,-9.587907281187846,0.06165269310770247,0.0017947056696264495
ENSMUSG00000000581,-10.860602162034992,0.0743713798279449,0.28314462817586317
ENSMUSG00000000594,-10.112206760241119,0.6170957511954093,0.6055940317778704
ENSMUSG00000000628,-6.002824588614134,-0.3379165741729238,-0.2430616710210759
ENSMUSG00000000631,-8.447008210466546,-0.19752553829274966,0.06891998401368941
ENSMUSG00000000708,-8.954990530082908,-0.11215551069308492,0.021811361924295662
ENSMUSG00000000738,-9.074556645951573,0.12634763542759334,-0.05962322443884764
ENSMUSG00000000740,-8.355606527978118,0.017725630434478237,-0.0018880317162386225
ENSMUSG00000000743,-9.497371005725839,-0.18269610745216455,-0.13687727957596596
ENSMUSG00000000751,-10.16291179325372,-0.03190209145483388,-0.06663046321370487
ENSMUSG00000000759,-9.848391444026216,-0.07283433050770856,-0.12327353370669474
ENSMUSG00000000776,-9.499588167668858,-0.3291598151962919,-0.5911876438951635
ENSMUSG00000000811,-10.388393835239144,-0.023395020183108118,0.276292094340479
ENSMUSG00000000826,-8.5489439474132,-0.05428781331134724,-0.03685224209181502
ENSMUSG00000000876,-8.527128300477624,-0.030602377731641605,-0.03318527956945323
ENSMUSG00000000902,-9.571474724708466,0.09981347438248113,-0.044765212865677584
